sample_id	layer	missing_percent	subtype
TCGA-05-4384-01	mRNA	0	LUAD
TCGA-05-4396-01	mRNA	0	LUAD
TCGA-05-4405-01	mRNA	0	LUAD
TCGA-05-4410-01	mRNA	0	LUAD
TCGA-05-4417-01	mRNA	0	LUAD
TCGA-05-4427-01	mRNA	0	LUAD
TCGA-05-5423-01	mRNA	0	LUAD
TCGA-05-5425-01	mRNA	0	LUAD
TCGA-05-5429-01	mRNA	0	LUAD
TCGA-05-5715-01	mRNA	0	LUAD
TCGA-35-5375-01	mRNA	0	LUAD
TCGA-38-6178-01	mRNA	0	LUAD
TCGA-38-A44F-01	mRNA	0	LUAD
TCGA-44-2656-01	mRNA	0	LUAD
TCGA-44-2665-01	mRNA	0	LUAD
TCGA-44-2668-01	mRNA	0	LUAD
TCGA-44-3918-01	mRNA	0	LUAD
TCGA-44-4112-01	mRNA	0	LUAD
TCGA-44-5643-01	mRNA	0	LUAD
TCGA-44-5644-01	mRNA	0	LUAD
TCGA-44-5645-01	mRNA	0	LUAD
TCGA-44-6145-01	mRNA	0	LUAD
TCGA-44-6146-01	mRNA	0	LUAD
TCGA-44-6148-01	mRNA	0	LUAD
TCGA-44-6774-01	mRNA	0	LUAD
TCGA-44-6775-01	mRNA	0	LUAD
TCGA-44-6776-01	mRNA	0	LUAD
TCGA-44-6777-01	mRNA	0	LUAD
TCGA-44-6778-01	mRNA	0	LUAD
TCGA-44-6779-01	mRNA	0	LUAD
TCGA-44-7659-01	mRNA	0	LUAD
TCGA-44-7660-01	mRNA	0	LUAD
TCGA-44-7661-01	mRNA	0	LUAD
TCGA-44-7662-01	mRNA	0	LUAD
TCGA-44-7667-01	mRNA	0	LUAD
TCGA-44-7669-01	mRNA	0	LUAD
TCGA-44-7670-01	mRNA	0	LUAD
TCGA-44-7671-01	mRNA	0	LUAD
TCGA-44-7672-01	mRNA	0	LUAD
TCGA-44-8117-01	mRNA	0	LUAD
TCGA-44-8119-01	mRNA	0	LUAD
TCGA-44-A479-01	mRNA	0	LUAD
TCGA-44-A47A-01	mRNA	0	LUAD
TCGA-44-A47G-01	mRNA	0	LUAD
TCGA-44-A4SS-01	mRNA	0	LUAD
TCGA-44-A4SU-01	mRNA	0	LUAD
TCGA-49-4487-01	mRNA	0	LUAD
TCGA-49-4488-01	mRNA	0	LUAD
TCGA-49-4512-01	mRNA	0	LUAD
TCGA-49-4514-01	mRNA	0	LUAD
TCGA-49-6742-01	mRNA	0	LUAD
TCGA-49-6743-01	mRNA	0	LUAD
TCGA-49-6744-01	mRNA	0	LUAD
TCGA-49-6745-01	mRNA	0	LUAD
TCGA-49-6761-01	mRNA	0	LUAD
TCGA-49-6767-01	mRNA	0	LUAD
TCGA-49-AAQV-01	mRNA	0	LUAD
TCGA-49-AAR0-01	mRNA	0	LUAD
TCGA-49-AAR2-01	mRNA	0	LUAD
TCGA-49-AAR3-01	mRNA	0	LUAD
TCGA-49-AAR4-01	mRNA	0	LUAD
TCGA-49-AAR9-01	mRNA	0	LUAD
TCGA-49-AARE-01	mRNA	0	LUAD
TCGA-49-AARN-01	mRNA	0	LUAD
TCGA-49-AARO-01	mRNA	0	LUAD
TCGA-49-AARR-01	mRNA	0	LUAD
TCGA-4B-A93V-01	mRNA	0	LUAD
TCGA-50-5044-01	mRNA	0	LUAD
TCGA-50-5045-01	mRNA	0	LUAD
TCGA-50-5049-01	mRNA	0	LUAD
TCGA-50-5051-01	mRNA	0	LUAD
TCGA-50-5066-01	mRNA	0	LUAD
TCGA-50-5068-01	mRNA	0	LUAD
TCGA-50-5072-01	mRNA	0	LUAD
TCGA-50-5930-01	mRNA	0	LUAD
TCGA-50-5931-01	mRNA	0	LUAD
TCGA-50-5932-01	mRNA	0	LUAD
TCGA-50-5933-01	mRNA	0	LUAD
TCGA-50-5936-01	mRNA	0	LUAD
TCGA-50-5939-01	mRNA	0	LUAD
TCGA-50-5941-01	mRNA	0	LUAD
TCGA-50-5942-01	mRNA	0	LUAD
TCGA-50-5944-01	mRNA	0	LUAD
TCGA-50-5946-01	mRNA	0	LUAD
TCGA-50-6590-01	mRNA	0	LUAD
TCGA-50-6591-01	mRNA	0	LUAD
TCGA-50-6592-01	mRNA	0	LUAD
TCGA-50-6593-01	mRNA	0	LUAD
TCGA-50-6594-01	mRNA	0	LUAD
TCGA-50-6595-01	mRNA	0	LUAD
TCGA-50-6597-01	mRNA	0	LUAD
TCGA-50-6673-01	mRNA	0	LUAD
TCGA-50-7109-01	mRNA	0	LUAD
TCGA-50-8457-01	mRNA	0	LUAD
TCGA-50-8459-01	mRNA	0	LUAD
TCGA-50-8460-01	mRNA	0	LUAD
TCGA-53-7624-01	mRNA	0	LUAD
TCGA-53-7626-01	mRNA	0	LUAD
TCGA-53-7813-01	mRNA	0	LUAD
TCGA-53-A4EZ-01	mRNA	0	LUAD
TCGA-55-5899-01	mRNA	0	LUAD
TCGA-55-6543-01	mRNA	0	LUAD
TCGA-55-6712-01	mRNA	0	LUAD
TCGA-55-6969-01	mRNA	0	LUAD
TCGA-55-6970-01	mRNA	0	LUAD
TCGA-55-6971-01	mRNA	0	LUAD
TCGA-55-6978-01	mRNA	0	LUAD
TCGA-55-6979-01	mRNA	0	LUAD
TCGA-55-6981-01	mRNA	0	LUAD
TCGA-55-6982-01	mRNA	0	LUAD
TCGA-55-7573-01	mRNA	0	LUAD
TCGA-55-7574-01	mRNA	0	LUAD
TCGA-55-7728-01	mRNA	0	LUAD
TCGA-55-7815-01	mRNA	0	LUAD
TCGA-55-7910-01	mRNA	0	LUAD
TCGA-55-7911-01	mRNA	0	LUAD
TCGA-55-8505-01	mRNA	0	LUAD
TCGA-55-8506-01	mRNA	0	LUAD
TCGA-55-8507-01	mRNA	0	LUAD
TCGA-55-8620-01	mRNA	0	LUAD
TCGA-55-A494-01	mRNA	0	LUAD
TCGA-62-8394-01	mRNA	0	LUAD
TCGA-62-8395-01	mRNA	0	LUAD
TCGA-62-8398-01	mRNA	0	LUAD
TCGA-62-A46O-01	mRNA	0	LUAD
TCGA-62-A46P-01	mRNA	0	LUAD
TCGA-62-A46R-01	mRNA	0	LUAD
TCGA-62-A46S-01	mRNA	0	LUAD
TCGA-62-A46V-01	mRNA	0	LUAD
TCGA-62-A471-01	mRNA	0	LUAD
TCGA-64-1679-01	mRNA	0	LUAD
TCGA-64-1681-01	mRNA	0	LUAD
TCGA-64-5774-01	mRNA	0	LUAD
TCGA-64-5778-01	mRNA	0	LUAD
TCGA-64-5779-01	mRNA	0	LUAD
TCGA-64-5781-01	mRNA	0	LUAD
TCGA-64-5815-01	mRNA	0	LUAD
TCGA-67-6215-01	mRNA	0	LUAD
TCGA-67-6216-01	mRNA	0	LUAD
TCGA-67-6217-01	mRNA	0	LUAD
TCGA-69-7760-01	mRNA	0	LUAD
TCGA-69-7761-01	mRNA	0	LUAD
TCGA-69-7763-01	mRNA	0	LUAD
TCGA-69-7764-01	mRNA	0	LUAD
TCGA-69-7765-01	mRNA	0	LUAD
TCGA-69-8255-01	mRNA	0	LUAD
TCGA-69-A59K-01	mRNA	0	LUAD
TCGA-71-6725-01	mRNA	0	LUAD
TCGA-71-8520-01	mRNA	0	LUAD
TCGA-73-4658-01	mRNA	0	LUAD
TCGA-73-4676-01	mRNA	0	LUAD
TCGA-73-7498-01	mRNA	0	LUAD
TCGA-73-7499-01	mRNA	0	LUAD
TCGA-73-A9RS-01	mRNA	0	LUAD
TCGA-75-5122-01	mRNA	0	LUAD
TCGA-75-5125-01	mRNA	0	LUAD
TCGA-75-6203-01	mRNA	0	LUAD
TCGA-75-6205-01	mRNA	0	LUAD
TCGA-75-6206-01	mRNA	0	LUAD
TCGA-75-6207-01	mRNA	0	LUAD
TCGA-75-6211-01	mRNA	0	LUAD
TCGA-75-6212-01	mRNA	0	LUAD
TCGA-75-6214-01	mRNA	0	LUAD
TCGA-75-7027-01	mRNA	0	LUAD
TCGA-75-7030-01	mRNA	0	LUAD
TCGA-75-7031-01	mRNA	0	LUAD
TCGA-78-7143-01	mRNA	0	LUAD
TCGA-78-7145-01	mRNA	0	LUAD
TCGA-78-7146-01	mRNA	0	LUAD
TCGA-78-7147-01	mRNA	0	LUAD
TCGA-78-7148-01	mRNA	0	LUAD
TCGA-78-7149-01	mRNA	0	LUAD
TCGA-78-7150-01	mRNA	0	LUAD
TCGA-78-7152-01	mRNA	0	LUAD
TCGA-78-7153-01	mRNA	0	LUAD
TCGA-78-7154-01	mRNA	0	LUAD
TCGA-78-7155-01	mRNA	0	LUAD
TCGA-78-7156-01	mRNA	0	LUAD
TCGA-78-7158-01	mRNA	0	LUAD
TCGA-78-7159-01	mRNA	0	LUAD
TCGA-78-7160-01	mRNA	0	LUAD
TCGA-78-7161-01	mRNA	0	LUAD
TCGA-78-7162-01	mRNA	0	LUAD
TCGA-78-7163-01	mRNA	0	LUAD
TCGA-78-7166-01	mRNA	0	LUAD
TCGA-78-7167-01	mRNA	0	LUAD
TCGA-78-7535-01	mRNA	0	LUAD
TCGA-78-7536-01	mRNA	0	LUAD
TCGA-78-7537-01	mRNA	0	LUAD
TCGA-78-7539-01	mRNA	0	LUAD
TCGA-78-7540-01	mRNA	0	LUAD
TCGA-78-7542-01	mRNA	0	LUAD
TCGA-78-7633-01	mRNA	0	LUAD
TCGA-78-8662-01	mRNA	0	LUAD
TCGA-80-5607-01	mRNA	0	LUAD
TCGA-80-5608-01	mRNA	0	LUAD
TCGA-80-5611-01	mRNA	0	LUAD
TCGA-83-5908-01	mRNA	0	LUAD
TCGA-86-6562-01	mRNA	0	LUAD
TCGA-86-6851-01	mRNA	0	LUAD
TCGA-86-7701-01	mRNA	0	LUAD
TCGA-86-7711-01	mRNA	0	LUAD
TCGA-86-7713-01	mRNA	0	LUAD
TCGA-86-7953-01	mRNA	0	LUAD
TCGA-86-7954-01	mRNA	0	LUAD
TCGA-86-7955-01	mRNA	0	LUAD
TCGA-86-8054-01	mRNA	0	LUAD
TCGA-86-8055-01	mRNA	0	LUAD
TCGA-86-8056-01	mRNA	0	LUAD
TCGA-86-8073-01	mRNA	0	LUAD
TCGA-86-8074-01	mRNA	0	LUAD
TCGA-86-8075-01	mRNA	0	LUAD
TCGA-86-8076-01	mRNA	0	LUAD
TCGA-86-8278-01	mRNA	0	LUAD
TCGA-86-8279-01	mRNA	0	LUAD
TCGA-86-8280-01	mRNA	0	LUAD
TCGA-86-8281-01	mRNA	0	LUAD
TCGA-86-8358-01	mRNA	0	LUAD
TCGA-86-8359-01	mRNA	0	LUAD
TCGA-86-8585-01	mRNA	0	LUAD
TCGA-86-8668-01	mRNA	0	LUAD
TCGA-86-8669-01	mRNA	0	LUAD
TCGA-86-8671-01	mRNA	0	LUAD
TCGA-86-8673-01	mRNA	0	LUAD
TCGA-86-A456-01	mRNA	0	LUAD
TCGA-86-A4D0-01	mRNA	0	LUAD
TCGA-86-A4JF-01	mRNA	0	LUAD
TCGA-86-A4P7-01	mRNA	0	LUAD
TCGA-86-A4P8-01	mRNA	0	LUAD
TCGA-91-6828-01	mRNA	0	LUAD
TCGA-91-6829-01	mRNA	0	LUAD
TCGA-91-6830-01	mRNA	0	LUAD
TCGA-91-6831-01	mRNA	0	LUAD
TCGA-91-6835-01	mRNA	0	LUAD
TCGA-91-6836-01	mRNA	0	LUAD
TCGA-91-6840-01	mRNA	0	LUAD
TCGA-91-6847-01	mRNA	0	LUAD
TCGA-91-6848-01	mRNA	0	LUAD
TCGA-91-6849-01	mRNA	0	LUAD
TCGA-91-7771-01	mRNA	0	LUAD
TCGA-91-8496-01	mRNA	0	LUAD
TCGA-91-8497-01	mRNA	0	LUAD
TCGA-91-8499-01	mRNA	0	LUAD
TCGA-91-A4BC-01	mRNA	0	LUAD
TCGA-91-A4BD-01	mRNA	0	LUAD
TCGA-93-7348-01	mRNA	0	LUAD
TCGA-93-A4JN-01	mRNA	0	LUAD
TCGA-93-A4JO-01	mRNA	0	LUAD
TCGA-93-A4JP-01	mRNA	0	LUAD
TCGA-93-A4JQ-01	mRNA	0	LUAD
TCGA-95-7039-01	mRNA	0	LUAD
TCGA-95-7043-01	mRNA	0	LUAD
TCGA-95-7567-01	mRNA	0	LUAD
TCGA-95-7944-01	mRNA	0	LUAD
TCGA-95-7947-01	mRNA	0	LUAD
TCGA-95-7948-01	mRNA	0	LUAD
TCGA-95-A4VK-01	mRNA	0	LUAD
TCGA-95-A4VN-01	mRNA	0	LUAD
TCGA-95-A4VP-01	mRNA	0	LUAD
TCGA-97-7546-01	mRNA	0	LUAD
TCGA-97-7552-01	mRNA	0	LUAD
TCGA-97-7553-01	mRNA	0	LUAD
TCGA-97-7554-01	mRNA	0	LUAD
TCGA-97-7937-01	mRNA	0	LUAD
TCGA-97-7938-01	mRNA	0	LUAD
TCGA-97-7941-01	mRNA	0	LUAD
TCGA-97-8179-01	mRNA	0	LUAD
TCGA-97-A4M0-01	mRNA	0	LUAD
TCGA-97-A4M2-01	mRNA	0	LUAD
TCGA-97-A4M5-01	mRNA	0	LUAD
TCGA-97-A4M6-01	mRNA	0	LUAD
TCGA-97-A4M7-01	mRNA	0	LUAD
TCGA-99-7458-01	mRNA	0	LUAD
TCGA-99-8028-01	mRNA	0	LUAD
TCGA-J2-8192-01	mRNA	0	LUAD
TCGA-J2-8194-01	mRNA	0	LUAD
TCGA-J2-A4AD-01	mRNA	0	LUAD
TCGA-J2-A4AG-01	mRNA	0	LUAD
TCGA-L4-A4E5-01	mRNA	0	LUAD
TCGA-L4-A4E6-01	mRNA	0	LUAD
TCGA-L9-A443-01	mRNA	0	LUAD
TCGA-L9-A444-01	mRNA	0	LUAD
TCGA-L9-A50W-01	mRNA	0	LUAD
TCGA-L9-A5IP-01	mRNA	0	LUAD
TCGA-L9-A743-01	mRNA	0	LUAD
